,Açıklamalar,Tarih,Toplam Vaka,Günlük Vaka,Toplam_Hasta,Gunluk_Hasta,Toplam_Vefat,Gunluk_Vefat,Toplam_iyilesen,Gunluk_iyilesen,Toplam_Test,Gunluk_Test,YBU,Entube,Ağır Hasta,yatak_doluluk_orani,eriskin_yogun_bakim_doluluk_orani,ventilator_doluluk_orani
,,22.07.2020,222.402,,222.402,902,5.545,19,205.214,1.203,4.403.031,43.404,1.244,381,,,,
,,23.07.2020,223.315,,223.315,913,5.563,18,206.365,1.151,4.446.374,43.343,1.251,378,,,,
,,24.07.2020,224.252,,224.252,937,5.580,17,207.374,1.009,4.489.360,42.986,1.248,379,,,,
,,25.07.2020,225.173,,225.173,921,5.596,16,208.477,1.103,4.532.672,43.312,1.252,386,,,,
,,26.07.2020,226.100,,226.100,927,5.613,17,209.487,1.010,4.572.688,40.016,1.249,387,,,,
,,27.07.2020,227.019,,227.019,919,5.630,17,210.469,982,4.617.971,45.283,1.263,392,,,,
,,28.07.2020,227.982,,227.982,963,5.645,15,211.561,1.092,4.665.383,47.412,1.280,403,,,,
,,29.07.2020,228.924,,228.924,942,5.659,14,212.557,996,4.711.095,45.712,,,542,,,
,,30.07.2020,229.891,,229.891,967,5.674,15,213.539,982,4.754.331,43.236,,,561,,,
,,31.07.2020,230.873,,230.873,982,5.691,17,214.535,996,4.800.823,46.492,,,582,,,
,,01.08.2020,231.869,,231.869,996,5.710,19,215.516,981,4.845.669,44.846,,,586,,,
,,02.08.2020,232.856,,232.856,987,5.728,18,216.494,978,4.885.916,40.247,,,582,,,
,,03.08.2020,233.851,,233.851,995,5.747,19,217.497,1.003,4.927.217,41.301,,,580,,,
,,04.08.2020,234.934,,234.934,1.083,5.765,18,218.491,994,4.973.466,46.249,,,583,,,
,,05.08.2020,236.112,,236.112,1.178,5.784,19,219.506,1.015,5.027.308,53.842,,,582,,,
,,06.08.2020,237.265,,237.265,1.153,5.798,14,220.546,1.040,5.081.802,54.494,,,580,,,
,,07.08.2020,238.450,,238.450,1.185,5.813,15,221.574,1.028,5.138.528,56.726,,,586,,,
,,08.08.2020,239.622,,239.622,1.172,5.829,16,222.656,1.082,5.202.370,63.842,,,587,,,
,,09.08.2020,240.804,,240.804,1.182,5.844,15,223.759,1.103,5.263.816,61.446,,,596,,,
,,10.08.2020,241.997,,241.997,1.193,5.858,14,224.970,1.211,5.326.035,62.219,,,603,,,
,,11.08.2020,243.180,,243.180,1.183,5.873,15,226.155,1.185,5.387.751,61.716,,,617,,,
,,12.08.2020,244.392,,244.392,1.212,5.891,18,227.089,934,5.454.988,67.237,,,632,,,
,,13.08.2020,245.635,,245.635,1.243,5.912,21,228.057,968,5.521.880,66.892,,,647,,,
,,14.08.2020,246.861,,246.861,1.226,5.934,22,228.980,923,5.592.072,70.192,,,656,,,
,,15.08.2020,248.117,,248.117,1.256,5.955,21,229.972,992,5.659.286,67.214,,,668,,,
,,16.08.2020,249.309,,249.309,1.192,5.974,19,230.969,997,5.725.242,65.956,,,679,,,
,,17.08.2020,250.542,,250.542,1.233,5.996,22,231.971,1.002,5.800.088,74.846,,,686,,,
,,18.08.2020,251.805,,251.805,1.263,6.016,20,232.913,942,5.882.406,82.318,,,703,,,
,,19.08.2020,253.108,,253.108,1.303,6.039,23,233.915,1.002,5.969.629,87.223,,,719,,,
,,20.08.2020,254.520,,254.520,1.412,6.058,19,234.797,882,6.061.930,92.301,,,735,,,
,,21.08.2020,255.723,,255.723,1.203,6.080,22,235.569,772,6.154.157,92.227,,,749,,,
,,22.08.2020,257.032,,257.032,1.309,6.102,22,236.370,801,6.247.164,93.007,,,762,,,
,,23.08.2020,258.249,,258.249,1.217,6.121,19,237.165,795,6.327.466,80.302,,,783,,,
,,24.08.2020,259.692,,259.692,1.443,6.139,18,237.908,743,6.423.409,95.943,,,796,,,
,,25.08.2020,261.194,,261.194,1.502,6.163,24,238.795,887,6.521.640,98.231,,,811,,,
,,26.08.2020,262.507,,262.507,1.313,6.183,20,239.797,1.002,6.621.749,100.109,,,841,,,
,,27.08.2020,263.998,,263.998,1.491,6.209,26,240.792,995,6.727.860,106.111,,,862,,,
,,28.08.2020,265.515,,265.515,1.517,6.245,36,241.809,1.017,6.835.674,107.814,,,896,,,
,,29.08.2020,267.064,,267.064,1.549,6.284,39,242.812,1.003,6.937.088,101.414,,,917,,,
,,30.08.2020,268.546,,268.546,1.482,6.326,42,243.839,1.027,7.028.390,91.302,,,945,,,
,,31.08.2020,270.133,,270.133,1.587,6.370,44,244.926,1.087,7.138.492,110.102,,,961,,,
,,01.09.2020,271.705,,271.705,1.572,6.417,47,245.929,1.003,7.247.935,109.443,,,991,,,
,,02.09.2020,273.301,,273.301,1.596,6.462,45,246.876,947,7.355.862,107.927,,,1.017,,,
,,03.09.2020,274.943,,274.943,1.642,6.511,49,248.087,1.211,7.466.087,110.225,,,1.041,,,
,,04.09.2020,276.555,,276.555,1.612,6.564,53,249.108,1.021,7.583.200,117.113,,,1.076,,,
,,05.09.2020,278.228,,278.228,1.673,6.620,56,250.092,984,7.682.697,99.497,,,1.091,,,
,,06.09.2020,279.806,,279.806,1.578,6.673,53,251.105,1.013,7.779.539,96.842,,,1.102,,,
,,07.09.2020,281.509,,281.509,1.703,6.730,57,252.152,1.047,7.883.464,103.925,,,1.118,,,
,,08.09.2020,283.270,,283.270,1.761,6.782,52,253.245,1.093,7.994.029,110.565,,,1.159,,,
,,09.09.2020,284.943,,284.943,1.673,6.837,55,254.188,943,8.105.222,111.193,,,1.181,,,
,,10.09.2020,286.455,,286.455,1.512,6.895,58,255.407,1.219,8.212.924,107.702,,,1.209,,,
,,11.09.2020,288.126,,288.126,1.671,6.951,56,256.524,1.117,8.325.137,112.213,,,1.223,,,
,,12.09.2020,289.635,,289.635,1.509,6.999,48,257.731,1.207,8.423.463,98.326,,,1.241,,,
,,13.09.2020,291.162,,291.162,1.527,7.056,57,258.833,1.102,8.519.560,96.097,,,1.267,,,
,,14.09.2020,292.878,,292.878,1.716,7.119,63,260.058,1.225,8.632.123,112.563,,,1.301,,,
,,15.09.2020,294.620,,294.620,1.742,7.186,67,261.260,1.202,8.742.535,110.412,,,1.327,,,
,,16.09.2020,296.391,,296.391,1.771,7.249,63,262.602,1.342,8.855.180,112.645,,,1.351,,,
,,17.09.2020,298.039,,298.039,1.648,7.315,66,263.745,1.143,8.965.165,109.985,,,1.372,,,
,,18.09.2020,299.810,,299.810,1.771,7.377,62,264.805,1.060,9.076.278,111.113,,,1.402,,,
,,19.09.2020,301.348,,301.348,1.538,7.445,68,266.117,1.312,9.173.694,97.416,,,1.432,,,
,,20.09.2020,302.867,,302.867,1.519,7.506,61,267.233,1.116,9.269.015,95.321,,,1.456,,,
,,21.09.2020,304.610,,304.610,1.743,7.574,68,268.435,1.202,9.381.957,112.942,,,1.491,,,
,,22.09.2020,306.302,,306.302,1.692,7.639,65,269.696,1.261,9.496.268,114.311,,,1.522,,,
,,23.09.2020,308.069,,308.069,1.767,7.711,72,270.723,1.027,9.608.370,112.102,,,1.561,,,
,,24.09.2020,309.790,,309.790,1.721,7.785,74,271.964,1.241,9.721.687,113.317,,,1.573,,,
,,25.09.2020,311.455,,311.455,1.665,7.858,73,273.282,1.318,9.834.572,112.885,,,1.601,,,
